INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,CLOSE_prev,PRICE_CHANGE,PRICE_CHANGE_PCT,OPEN_INT,OPEN_INT_prev,CHG_IN_OI,OI_CHANGE_PCT,OI_PATTERN
FUTSTK,TATAPOWER,30-Jan-2025,,399.05,398.2,0.8500000000000227,0.2134605725766004,88530300,86691600,1838700,2.1209667372617416,Long Build-up
FUTSTK,ICICIPRULI,30-Jan-2025,,677.4,666.55,10.850000000000023,1.6277848623509148,11512500,10734750,777750,7.245161741074548,Long Build-up
FUTSTK,HINDUNILVR,30-Jan-2025,,2414.1,2381.35,32.75,1.3752703298549143,14112600,14209200,-96600,-0.6798412296258761,Short Covering
FUTSTK,MCX,30-Jan-2025,,6178.9,6378.4,-199.5,-3.12774363476734,1379200,1388100,-8900,-0.6411641812549528,Long Unwinding
FUTSTK,FEDERALBNK,30-Jan-2025,,206.37,207.46,-1.0900000000000034,-0.5254024872264549,81125000,78975000,2150000,2.7223805001582777,Short Build-up
FUTSTK,TORNTPHARM,30-Jan-2025,,3423.5,3452.55,-29.050000000000182,-0.8414070759293908,1875500,1831750,43750,2.388426368227105,Short Build-up
FUTSTK,ABCAPITAL,30-Jan-2025,,185.69,184.78,0.9099999999999966,0.49247754085939854,58908600,59756400,-847800,-1.4187601662750768,Short Covering
FUTSTK,BAJFINANCE,30-Jan-2025,,7424.8,7416.5,8.300000000000182,0.11191262725005302,9898750,10202500,-303750,-2.9772114677775052,Short Covering
FUTSTK,DMART,30-Jan-2025,,4045.55,3617.05,428.5,11.846670629380295,3008850,2892150,116700,4.035060422177273,Long Build-up
FUTSTK,SONACOMS,30-Jan-2025,,592.35,599.5,-7.149999999999977,-1.1926605504587118,4384175,3999775,384400,9.61054059290835,Short Build-up
FUTSTK,COALINDIA,30-Jan-2025,,395.95,395.1,0.8499999999999659,0.215135408757268,55340250,55081950,258300,0.4689376465430145,Long Build-up
